region,crime_type,crime,value,time
New York City,  Violent Crime,Murder,597,2003
New York City,  Violent Crime,Forcible Rape,1609,2003
New York City,  Violent Crime,Robbery,25989,2003
New York City,  Violent Crime,Agg. Assault,31253,2003
New York City,  Property Crime,Burglary,28293,2003
New York City,  Property Crime,Larceny,124846,2003
New York City,  Property Crime,MV Theft,23628,2003
Non-New York City,  Violent Crime,Murder,328,2003
Non-New York City,  Violent Crime,Forcible Rape,2161,2003
Non-New York City,  Violent Crime,Robbery,9789,2003
Non-New York City,  Violent Crime,Agg. Assault,17639,2003
Non-New York City,  Property Crime,Burglary,47126,2003
Non-New York City,  Property Crime,Larceny,184326,2003
Non-New York City,  Property Crime,MV Theft,21510,2003
New York City,  Violent Crime,Murder,570,2004
New York City,  Violent Crime,Forcible Rape,1428,2004
New York City,  Violent Crime,Robbery,24373,2004
New York City,  Violent Crime,Agg. Assault,29317,2004
New York City,  Property Crime,Burglary,26100,2004
New York City,  Property Crime,Larceny,124016,2004
New York City,  Property Crime,MV Theft,21072,2004
Non-New York City,  Violent Crime,Murder,329,2004
Non-New York City,  Violent Crime,Forcible Rape,2133,2004
Non-New York City,  Violent Crime,Robbery,8977,2004
Non-New York City,  Violent Crime,Agg. Assault,17148,2004
Non-New York City,  Property Crime,Burglary,43829,2004
Non-New York City,  Property Crime,Larceny,181651,2004
Non-New York City,  Property Crime,MV Theft,19707,2004
New York City,  Violent Crime,Murder,539,2005
New York City,  Violent Crime,Forcible Rape,1412,2005
New York City,  Violent Crime,Robbery,24722,2005
New York City,  Violent Crime,Agg. Assault,27950,2005
New York City,  Property Crime,Burglary,23210,2005
New York City,  Property Crime,Larceny,120918,2005
New York City,  Property Crime,MV Theft,18381,2005
Non-New York City,  Violent Crime,Murder,336,2005
Non-New York City,  Violent Crime,Forcible Rape,2203,2005
Non-New York City,  Violent Crime,Robbery,10282,2005
Non-New York City,  Violent Crime,Agg. Assault,18080,2005
Non-New York City,  Property Crime,Burglary,44591,2005
Non-New York City,  Property Crime,Larceny,179620,2005
Non-New York City,  Property Crime,MV Theft,17155,2005
New York City,  Violent Crime,Murder,596,2006
New York City,  Violent Crime,Forcible Rape,1071,2006
New York City,  Violent Crime,Robbery,23511,2006
New York City,  Violent Crime,Agg. Assault,26908,2006
New York City,  Property Crime,Burglary,22137,2006
